,Step_Time,Vehicle_Count
0,17:42:01,2
1,17:42:02,1
2,17:42:03,2
3,17:42:04,1
4,17:42:05,2
5,17:42:06,1
6,17:42:07,1
7,17:42:08,2
8,17:42:09,1
9,17:42:10,1
10,17:42:11,1
11,17:42:12,1
12,17:42:13,1
13,17:42:14,2
14,17:42:15,1
15,17:42:16,1
16,17:42:17,1
17,17:42:18,0
18,17:42:19,1
19,17:42:20,0
20,17:42:21,1
21,17:42:22,1
22,17:42:23,0
23,17:42:24,1
24,17:42:25,0
25,17:42:26,0
26,17:42:27,0
27,17:42:28,0
28,17:42:29,0
29,17:42:30,0
30,17:42:31,0
31,17:42:32,0
32,17:42:33,0
33,17:42:34,0
34,17:42:35,0
35,17:42:36,0
36,17:42:37,0
37,17:42:38,0
38,17:42:39,0
39,17:42:40,0
40,17:42:41,0
41,17:42:42,0
42,17:42:43,0
43,17:42:44,0
44,17:42:45,0
45,17:42:46,0
46,17:42:47,0
47,17:42:48,0
48,17:42:49,0
49,17:42:50,0
50,17:42:51,0
51,17:42:52,0
52,17:42:53,0
53,17:42:54,0
54,17:42:55,0
55,17:42:56,0
56,17:42:57,0
57,17:42:58,0
58,17:42:59,0
59,17:42:60,0
60,17:43:01,0
61,17:43:02,0
62,17:43:03,0
63,17:43:04,0
64,17:43:05,0
65,17:43:06,0
66,17:43:07,0
67,17:43:08,0
68,17:43:09,0
69,17:43:10,0
70,17:43:11,0
71,17:43:12,0
72,17:43:13,0
73,17:43:14,0
74,17:43:15,0
75,17:43:16,0
76,17:43:17,0
77,17:43:18,0
78,17:43:19,0
79,17:43:20,0
80,17:43:21,0
81,17:43:22,0
82,17:43:23,0
83,17:43:24,0
84,17:43:25,0
85,17:43:26,0
86,17:43:27,0
87,17:43:28,0
88,17:43:29,0
89,17:43:30,0
90,17:43:31,0
91,17:43:32,0
92,17:43:33,0
93,17:43:34,0
94,17:43:35,0
95,17:43:36,0
96,17:43:37,0
97,17:43:38,0
98,17:43:39,0
99,17:43:40,0
100,17:43:41,0
101,17:43:42,0
102,17:43:43,0
103,17:43:44,0
104,17:43:45,0
105,17:43:46,0
106,17:43:47,0
107,17:43:48,0
108,17:43:49,0
109,17:43:50,0
110,17:43:51,0
111,17:43:52,0
112,17:43:53,0
113,17:43:54,0
114,17:43:55,0
115,17:43:56,0
116,17:43:57,0
117,17:43:58,0
118,17:43:59,0
119,17:43:60,0
120,17:44:01,0
121,17:44:02,0
122,17:44:03,0
123,17:44:04,0
124,17:44:05,0
125,17:44:06,0
126,17:44:07,0
127,17:44:08,0
128,17:44:09,0
129,17:44:10,0
130,17:44:11,0
131,17:44:12,0
132,17:44:13,0
133,17:44:14,0
134,17:44:15,0
135,17:44:16,0
136,17:44:17,0
137,17:44:18,0
138,17:44:19,0
139,17:44:20,0
140,17:44:21,0
141,17:44:22,0
142,17:44:23,0
143,17:44:24,0
144,17:44:25,0
145,17:44:26,1
146,17:44:27,2
147,17:44:28,1
148,17:44:29,1
149,17:44:30,0
150,17:44:31,1
151,17:44:32,1
152,17:44:33,1
153,17:44:34,0
154,17:44:35,2
155,17:44:36,2
156,17:44:37,2
157,17:44:38,0
158,17:44:39,0
159,17:44:40,2
160,17:44:41,2
161,17:44:42,0
162,17:44:43,0
163,17:44:44,2
164,17:44:45,0
165,17:44:46,1
166,17:44:47,0
167,17:44:48,1
168,17:44:49,2
169,17:44:50,1
170,17:44:51,0
171,17:44:52,1
172,17:44:53,0
173,17:44:54,0
174,17:44:55,1
175,17:44:56,1
176,17:44:57,0
177,17:44:58,0
178,17:44:59,0
179,17:44:60,0
180,17:45:01,0
181,17:45:02,0
182,17:45:03,0
183,17:45:04,0
184,17:45:05,0
185,17:45:06,0
186,17:45:07,0
187,17:45:08,0
188,17:45:09,0
189,17:45:10,0
190,17:45:11,0
191,17:45:12,0
192,17:45:13,0
193,17:45:14,0
194,17:45:15,0
195,17:45:16,0
196,17:45:17,0
197,17:45:18,0
198,17:45:19,0
199,17:45:20,0
200,17:45:21,0
201,17:45:22,0
202,17:45:23,0
203,17:45:24,0
204,17:45:25,0
205,17:45:26,0
206,17:45:27,0
207,17:45:28,0
208,17:45:29,0
209,17:45:30,0
210,17:45:31,0
211,17:45:32,0
212,17:45:33,0
213,17:45:34,0
214,17:45:35,0
215,17:45:36,0
216,17:45:37,0
217,17:45:38,0
218,17:45:39,0
219,17:45:40,0
220,17:45:41,0
221,17:45:42,0
222,17:45:43,0
223,17:45:44,0
224,17:45:45,0
225,17:45:46,0
226,17:45:47,0
227,17:45:48,0
228,17:45:49,0
229,17:45:50,0
230,17:45:51,0
231,17:45:52,0
232,17:45:53,0
233,17:45:54,0
234,17:45:55,0
235,17:45:56,0
236,17:45:57,0
237,17:45:58,0
238,17:45:59,0
239,17:45:60,0
240,17:46:01,0
241,17:46:02,0
242,17:46:03,0
243,17:46:04,0
244,17:46:05,0
245,17:46:06,0
246,17:46:07,0
247,17:46:08,0
248,17:46:09,0
249,17:46:10,0
250,17:46:11,0
251,17:46:12,0
252,17:46:13,0
253,17:46:14,0
254,17:46:15,0
255,17:46:16,0
256,17:46:17,0
257,17:46:18,0
258,17:46:19,0
259,17:46:20,0
260,17:46:21,0
261,17:46:22,0
262,17:46:23,0
263,17:46:24,0
264,17:46:25,0
265,17:46:26,0
266,17:46:27,0
267,17:46:28,0
268,17:46:29,0
269,17:46:30,0
270,17:46:31,0
271,17:46:32,0
272,17:46:33,0
273,17:46:34,0
274,17:46:35,0
275,17:46:36,0
276,17:46:37,0
277,17:46:38,0
278,17:46:39,0
279,17:46:40,0
280,17:46:41,0
281,17:46:42,0
282,17:46:43,0
283,17:46:44,0
284,17:46:45,0
285,17:46:46,0
286,17:46:47,1
287,17:46:48,2
288,17:46:49,2
289,17:46:50,2
290,17:46:51,1
291,17:46:52,1
292,17:46:53,2
293,17:46:54,2
294,17:46:55,1
295,17:46:56,1
296,17:46:57,0
297,17:46:58,0
298,17:46:59,0
299,17:46:60,0
300,17:47:01,1
301,17:47:02,0
302,17:47:03,0
303,17:47:04,1
304,17:47:05,0
305,17:47:06,0
306,17:47:07,0
307,17:47:08,0
308,17:47:09,0
309,17:47:10,1
310,17:47:11,0
311,17:47:12,0
312,17:47:13,0
313,17:47:14,0
314,17:47:15,0
315,17:47:16,0
316,17:47:17,0
317,17:47:18,0
318,17:47:19,0
319,17:47:20,0
320,17:47:21,0
321,17:47:22,0
322,17:47:23,0
323,17:47:24,0
324,17:47:25,0
325,17:47:26,0
326,17:47:27,0
327,17:47:28,0
328,17:47:29,0
329,17:47:30,0
330,17:47:31,0
331,17:47:32,0
332,17:47:33,0
333,17:47:34,0
334,17:47:35,0
335,17:47:36,0
336,17:47:37,0
337,17:47:38,0
338,17:47:39,0
339,17:47:40,0
340,17:47:41,0
341,17:47:42,0
342,17:47:43,0
343,17:47:44,0
344,17:47:45,0
345,17:47:46,0
346,17:47:47,0
347,17:47:48,0
348,17:47:49,0
349,17:47:50,0
350,17:47:51,0
351,17:47:52,0
352,17:47:53,0
353,17:47:54,0
354,17:47:55,0
355,17:47:56,0
356,17:47:57,0
357,17:47:58,0
358,17:47:59,0
359,17:47:60,0
360,17:48:01,0
361,17:48:02,0
362,17:48:03,0
363,17:48:04,0
364,17:48:05,0
365,17:48:06,0
366,17:48:07,0
367,17:48:08,0
368,17:48:09,0
369,17:48:10,0
370,17:48:11,0
371,17:48:12,0
372,17:48:13,0
373,17:48:14,0
374,17:48:15,0
375,17:48:16,0
376,17:48:17,0
377,17:48:18,0
378,17:48:19,0
379,17:48:20,0
380,17:48:21,0
381,17:48:22,0
382,17:48:23,0
383,17:48:24,0
384,17:48:25,0
385,17:48:26,0
386,17:48:27,0
387,17:48:28,0
388,17:48:29,0
389,17:48:30,0
390,17:48:31,0
391,17:48:32,0
392,17:48:33,0
393,17:48:34,0
394,17:48:35,0
395,17:48:36,0
396,17:48:37,0
397,17:48:38,0
398,17:48:39,0
399,17:48:40,0
400,17:48:41,0
401,17:48:42,0
402,17:48:43,0
403,17:48:44,0
404,17:48:45,0
405,17:48:46,0
406,17:48:47,0
407,17:48:48,0
408,17:48:49,0
409,17:48:50,0
410,17:48:51,0
411,17:48:52,0
412,17:48:53,0
413,17:48:54,2
414,17:48:55,1
415,17:48:56,0
416,17:48:57,0
417,17:48:58,1
418,17:48:59,2
419,17:48:60,0
420,17:49:01,2
421,17:49:02,2
422,17:49:03,1
423,17:49:04,2
424,17:49:05,0
425,17:49:06,1
426,17:49:07,0
427,17:49:08,0
428,17:49:09,0
429,17:49:10,0
430,17:49:11,0
431,17:49:12,1
432,17:49:13,0
433,17:49:14,0
434,17:49:15,1
435,17:49:16,0
436,17:49:17,0
437,17:49:18,0
438,17:49:19,0
439,17:49:20,0
440,17:49:21,0
441,17:49:22,0
442,17:49:23,0
443,17:49:24,0
444,17:49:25,0
445,17:49:26,0
446,17:49:27,0
447,17:49:28,0
448,17:49:29,0
449,17:49:30,0
450,17:49:31,0
451,17:49:32,0
452,17:49:33,0
453,17:49:34,0
454,17:49:35,0
455,17:49:36,0
456,17:49:37,0
457,17:49:38,0
458,17:49:39,0
459,17:49:40,0
460,17:49:41,0
461,17:49:42,0
462,17:49:43,0
463,17:49:44,0
464,17:49:45,0
465,17:49:46,0
466,17:49:47,0
467,17:49:48,0
468,17:49:49,0
469,17:49:50,0
470,17:49:51,0
471,17:49:52,0
472,17:49:53,0
473,17:49:54,0
474,17:49:55,0
475,17:49:56,0
476,17:49:57,0
477,17:49:58,0
478,17:49:59,0
479,17:49:60,0
480,17:50:01,0
481,17:50:02,0
482,17:50:03,0
483,17:50:04,0
484,17:50:05,0
485,17:50:06,0
486,17:50:07,0
487,17:50:08,0
488,17:50:09,0
489,17:50:10,0
490,17:50:11,0
491,17:50:12,0
492,17:50:13,0
493,17:50:14,0
494,17:50:15,0
495,17:50:16,0
496,17:50:17,0
497,17:50:18,0
498,17:50:19,0
499,17:50:20,0
500,17:50:21,0
501,17:50:22,0
502,17:50:23,0
503,17:50:24,0
504,17:50:25,0
505,17:50:26,0
506,17:50:27,0
507,17:50:28,0
508,17:50:29,0
509,17:50:30,0
510,17:50:31,0
511,17:50:32,0
512,17:50:33,0
513,17:50:34,0
514,17:50:35,0
515,17:50:36,0
516,17:50:37,0
517,17:50:38,0
518,17:50:39,0
519,17:50:40,0
520,17:50:41,0
521,17:50:42,0
522,17:50:43,0
523,17:50:44,0
524,17:50:45,0
525,17:50:46,0
526,17:50:47,0
527,17:50:48,0
528,17:50:49,0
529,17:50:50,0
530,17:50:51,0
531,17:50:52,0
532,17:50:53,0
533,17:50:54,0
534,17:50:55,0
535,17:50:56,0
536,17:50:57,0
537,17:50:58,0
538,17:50:59,0
539,17:50:60,0
540,17:51:01,0
541,17:51:02,1
542,17:51:03,2
543,17:51:04,2
544,17:51:05,2
545,17:51:06,2
546,17:51:07,1
547,17:51:08,2
548,17:51:09,1
549,17:51:10,0
550,17:51:11,0
551,17:51:12,0
552,17:51:13,1
553,17:51:14,0
554,17:51:15,0
555,17:51:16,0
556,17:51:17,0
557,17:51:18,0
558,17:51:19,0
559,17:51:20,1
560,17:51:21,0
561,17:51:22,0
562,17:51:23,0
563,17:51:24,0
564,17:51:25,0
565,17:51:26,0
566,17:51:27,0
567,17:51:28,0
568,17:51:29,0
569,17:51:30,0
570,17:51:31,0
571,17:51:32,0
572,17:51:33,0
573,17:51:34,0
574,17:51:35,0
575,17:51:36,0
576,17:51:37,1
577,17:51:38,0
578,17:51:39,0
579,17:51:40,0
580,17:51:41,0
581,17:51:42,0
582,17:51:43,0
583,17:51:44,0
584,17:51:45,0
585,17:51:46,0
586,17:51:47,0
587,17:51:48,0
588,17:51:49,0
589,17:51:50,0
590,17:51:51,0
591,17:51:52,0
592,17:51:53,0
593,17:51:54,0
594,17:51:55,0
595,17:51:56,0
596,17:51:57,0
597,17:51:58,0
598,17:51:59,0
599,17:51:60,0
600,17:52:01,0
601,17:52:02,0
602,17:52:03,0
603,17:52:04,0
604,17:52:05,0
605,17:52:06,0
606,17:52:07,0
607,17:52:08,0
608,17:52:09,0
609,17:52:10,0
610,17:52:11,0
611,17:52:12,0
612,17:52:13,0
613,17:52:14,0
614,17:52:15,0
615,17:52:16,0
616,17:52:17,0
617,17:52:18,0
618,17:52:19,0
619,17:52:20,0
620,17:52:21,0
621,17:52:22,0
622,17:52:23,0
623,17:52:24,0
624,17:52:25,0
625,17:52:26,0
626,17:52:27,0
627,17:52:28,0
628,17:52:29,0
629,17:52:30,0
630,17:52:31,0
631,17:52:32,0
632,17:52:33,0
633,17:52:34,0
634,17:52:35,0
635,17:52:36,0
636,17:52:37,0
637,17:52:38,0
638,17:52:39,0
639,17:52:40,0
640,17:52:41,0
641,17:52:42,0
642,17:52:43,0
643,17:52:44,0
644,17:52:45,0
645,17:52:46,0
646,17:52:47,0
647,17:52:48,0
648,17:52:49,0
649,17:52:50,0
650,17:52:51,0
651,17:52:52,0
652,17:52:53,0
653,17:52:54,0
654,17:52:55,0
655,17:52:56,0
656,17:52:57,0
657,17:52:58,0
658,17:52:59,0
659,17:52:60,0
660,17:53:01,0
661,17:53:02,0
662,17:53:03,0
663,17:53:04,0
664,17:53:05,0
665,17:53:06,0
666,17:53:07,0
667,17:53:08,0
668,17:53:09,0
669,17:53:10,0
670,17:53:11,0
671,17:53:12,0
672,17:53:13,0
673,17:53:14,0
674,17:53:15,0
675,17:53:16,0
676,17:53:17,0
677,17:53:18,0
678,17:53:19,0
679,17:53:20,0
680,17:53:21,0
681,17:53:22,0
682,17:53:23,0
683,17:53:24,0
684,17:53:25,0
685,17:53:26,0
686,17:53:27,0
687,17:53:28,0
688,17:53:29,0
689,17:53:30,2
690,17:53:31,2
691,17:53:32,2
692,17:53:33,1
693,17:53:34,2
694,17:53:35,1
695,17:53:36,1
696,17:53:37,0
697,17:53:38,1
698,17:53:39,1
699,17:53:40,0
700,17:53:41,0
701,17:53:42,0
702,17:53:43,0
703,17:53:44,0
704,17:53:45,0
705,17:53:46,1
706,17:53:47,0
707,17:53:48,1
708,17:53:49,1
709,17:53:50,0
710,17:53:51,0
711,17:53:52,0
712,17:53:53,0
713,17:53:54,0
714,17:53:55,0
715,17:53:56,0
716,17:53:57,0
717,17:53:58,0
718,17:53:59,0
719,17:53:60,0
